name,latitude,longitude,address,cuisine,opening_time,closing_time
Nando's,3.1293103,101.6710788,,chicken;portuguese,,
Raju,3.1015806,101.6537986,27,indian,,
Sri Paandi Gasing,3.1019623,101.6534458,,indian,,
Restoran Satellite Chicken Rice,3.106785,101.6535668,Jalan Gasing,chinese,,
Kanna Curry House,3.1069773,101.6534704,Jalan Gasing,indian,,
Tiki Taka,3.1396976,101.6573786,138 Jalan Kasah,,,
Kenji,3.1398007,101.6574403,,japanese,,
La Risata,3.1399714,101.6575375,,,,
Vintry,3.139902,101.657501,,,,
Gasing,3.1022687,101.6530535,,chinese,,
Gin Rik Sha,3.1398406,101.6574617,,indian,,
Jake's Charbroil Steaks,3.1399005,101.658078,21 Jalan Setiapuspa,steak_house;seafood,,
Victoria Station Medan Damansara,3.1397599,101.6579975,11-17 Jalan Setiapuspa,steak,12:00,23:00
Nasi Kandar Pelita,3.1329868,101.6706221,2 Jalan Telawi 5,indian,,
Shuruti Box,3.1321515,101.6718118,18 Jalan Telawi 2,,08:00,1:00
Rocky,3.1327371,101.6716266,15 Jalan Telawi 5,,,
Roots,3.1327486,101.6710378,1 Jalan Telawi 3,,,
The Red Hog,3.1329557,101.6712876,20 Jalan Telawi 5,,,
Nature's Vegetarian,3.1317496,101.6711949,24 Jalan Telawi 3,,,
Uncle Don's,3.1329581,101.6712007,,,,
1977 Ipoh Chicken Rice,3.1068835,101.6535221,105&107 Jalan Gasing,chinese,,
Muhibbah,3.1229028,101.6758676,81 Jalan Bangsar,indian,,
Pizza Hut,3.1288903,101.6798419,23 Jalan Bangsar,pizza,,
The Ganga Cafe,3.1226306,101.6709369,19 Lorong Kurau,indian,,
Basil Thai Nudle Bar,3.129561,101.6710593,G10 Ground Floor,thai,,
Cafe Deli by El Mesón,3.130416,101.6709763,,spanish,,
Baba Low's Bangsar,3.1225022,101.6711018,11 Lorong Kurau,asian,,
Restoran Malabar,3.1037695,101.6659228,,mamak,,
Souled Out,3.1097603,101.6661817,,,,
Streat Thai,3.1096664,101.6647804,,thai,,
Sany Cafe Char Koay Teow,3.1114561,101.6622179,Jalan Kerinchi,regional,,
Suasana,3.121022,101.6756691,,indian,,
Restoran Leeyas Corner,3.1230782,101.6758556,,malay,,
WTF Restaurants,3.1325508,101.673077,98&100 Lorong Maarof,,,
Syed Bistro,3.1283381,101.669392,,,,
Uncle Rahmat,3.1273423,101.6703294,,malaysian;curry;local;asian,08:00,04:00
Churitto’s,3.1283812,101.6793083,Jalan Bangsar,,,
Kannichikan Yakiniku,3.1040527,101.6775651,Jalan Klang Lama,,,
Original Penang Kayu Nasi Kandar,3.1312761,101.6706429,38 Jalan Telawi,indian,,
Sri Nirwana Maju,3.1310615,101.670982,43 Jalan Telawi 3,indian,10:00,02:00
Restoran Al-Mashur,3.1037599,101.6650444,,mamak,,
Western 8,3.1043413,101.677697,Jalan Klang Lama,,12:30,22:00
BBQ Thai,3.1085564,101.678754,,,,
Restoran Riang-Riang,3.1064862,101.6661587,Jalan Pantai Murni,malay,,
Ali Kafe Tom Yam Seafood,3.1167205,101.6696771,,,,
Restoran Haslam,3.1166197,101.668933,Jalan Pantai Baharu,,,
The London Circle,3.1164644,101.667623,Jalan Pantai Baharu,,,
Restoran Amjal,3.1182812,101.6650217,Jalan Pantai Baharu,,,
Warung Rindu,3.1069182,101.669943,,malay,,
Restoran Vargina,3.1037627,101.6654023,,mamak,,
Sushi Jiro,3.1185443,101.6782036,,,,
Guang,3.1301021,101.6709647,,,,
SpitFire,3.1324865,101.6718364,,philipino,,
Bala's Banana Leaf,3.1283439,101.6706188,21 Lorong Ara Kiri 1,malaysian,08:00,24:00
Mahbub,3.1284293,101.6703233,,indian,,
Restoran HSBC,3.1320561,101.6731068,84 Lorong Maarof,,,
Hana Tei,3.1274691,101.6696593,Lrg Ara Kiri 2,japanese,,
Veranda,3.1318212,101.6716196,,burger;indian,12:00,22:30
Breakfast Thieves APW Bangsar,3.1243265,101.6741824,29-05 Jalan Riong,breakfast,09:00,22:00
Yusuf Tom Yam,3.1281002,101.6689388,,asian,,
Dr.inc,3.1296663,101.6798655,,,,
Bistrot Benji’s,3.1293895,101.6708975,,,09:00,22:00
N97,3.1224478,101.6711392,,,,
define:food,3.118256,101.6765064,,,,
NY Burger co,3.1186119,101.6780282,#l3,burger,,
La Juiceria Superfoods Signature,3.1258083,101.6751925,,,,
Masha Hir,3.1057306,101.6780196,,,,
Nihon Kai,3.1062494,101.6789455,,japanese,12:00,15:00
Mitasu,3.1096206,101.6780243,,japanese,12:00,15:00
VCR Bangsar,3.1317291,101.6710183,,coffee;cake,08:30,17:00
Antipodean @ Bangsar,3.1320235,101.6718207,,breakfast;coffee_shop,07:30,22:00
Bai Gra Pow,3.1324664,101.6705875,,thai,,
Q Bistro,3.1314803,101.6718099,,indian,,
Paya Goyang@Bazaria Nasi Lemak Hari Ini,3.1069376,101.6695734,GM7.05 Pusat Perniagaan Bazaria Pantai Permai Jalan Pantai Permai 2,asian,07:00,19:00
Hong Kong Hot Pot,3.1311193,101.6709802,,chinese,,
Mercat Barcelona,3.1307986,101.6709679,,spanish,,
Sri Ayutthaya,3.1394884,101.6578411,,thai,11:00,23:00
BIRCOS,3.1396237,101.6579262,,indian,,
Pinch,3.138168,101.6688008,,italian,,
Beauty In The Pot,3.1192049,101.6756997,"Lot T-201B The Gardens Mall, Lingkaran Syed Putra, Mid Valley City",chinese;hotpot,11:00,22:00
Eatomo,3.1318909,101.6716209,,,,
Rising Son,3.1318334,101.671195,,,,
Sumi,3.1319553,101.6716272,,,,
Idli Only Cafe,3.1324668,101.6723031,64 Jalan Maarof,indian,,
Maria's SteakCafe,3.1322693,101.6722977,58 Jalan Maarof,steak_house,,
Anjappar Indian Chettinad Restaurant,3.132203,101.6722981,,indian,,
Hadramawt Kitchen,3.1319419,101.6722803,,middle_eastern;yemeni,,
W1 Dining & Cocktails,3.1319573,101.6718223,,,,
Pasta Panas,3.1329355,101.6718686,,,,
Ril's Bangsar,3.1329395,101.6716661,,,,
XXVI,3.1329449,101.6715226,,,,
Glitz,3.1329716,101.6707541,,,,
Upperhouse Kitchen & Dessert Bar,3.1318401,101.671023,,,,
Alexis Bistro,3.1317946,101.6710217,,,11:00,01:00
Table9,3.1320604,101.6710284,,italian,10:30,23:00
Restoran Berjaya,3.131735,101.6705663,,,,
Roost,3.1301724,101.6709718,,western,11:30,23:30
Mockingbird,3.1301931,101.6709719,,,,
Bait,3.1302834,101.670975,,seafood,,
The Social @ Bangsar,3.1305602,101.6709802,,,,
Super Saigon Bangsar KL - Pho Beef Noodle,3.1381164,101.6693267,,vietnamese,,
Fellini,3.1073667,101.6532845,Jalan Gasing,italian,,
Ayam Penyet Best Station,3.1118647,101.6681588,,,,
Buena Brasa,3.1103103,101.6672534,,spanish,12:00,22:00
"Tom, Dick & Harry's",3.1103529,101.6670684,,,11:00,01:00
The Public House,3.1103448,101.6674262,,,12:00,23:00
The Farm Foodcraft,3.1103874,101.668099,,,10:00,22:00
Rasa Viet,3.1102384,101.6678423,,vietnamese,10:00,22:00
Portofino,3.1103176,101.6677333,,italian,10:30,23:00
Five O'clock,3.110342,101.6676903,,,09:30,23:00
Nyonya Tingkat Signature,3.1108775,101.6677933,,,08:00,22:00
Koffie Craft - Dutch Restaurant & Café,3.110851,101.6679475,,dutch,10:00,22:00
"Ali, Muthu & Ah Hock",3.1108487,101.6680451,,malaysian,08:00,22:00
Take A Bow,3.1108739,101.6676682,,,,
Tonkatsu,3.1108565,101.6673566,,,,
Oiso,3.110853,101.6672054,,korean,,
The Porki Culture,3.1108552,101.6671384,,,,
Home Noodle,3.1108533,101.6670454,,,,
Oriental Treasure,3.1105639,101.6676135,,chinese,10:00,23:00
Haidilao Hot Pot,3.1304832,101.6718207,,chinese;hot_pot,,
Wok It,3.1280705,101.6785915,38 Jalan Bangsar Utama 1,,,
Nasi Kandar Rasmeena,3.1281193,101.6792333,44 Jalan Bangsar,,,
Fathima,3.127602,101.677553,10 Jalan Bangsar Utama 1,,,
Annapuurnam Chetinad,3.131737,101.6730631,74 Lorong Maarof,,,
Portofino,3.1279701,101.6705155,,italian,,
Simple Life,3.1279979,101.6703623,,,,
Wurst,3.1280601,101.6701122,,,,
Ombak Kitchen,3.1274419,101.6697857,,,,
Khan’s Indian Cuisine,3.1107539,101.666996,,indian,12:00,22:00
Lubuk Bangku,3.1316326,101.6779438,25 Jalan Abdullah,,,
Fittie Sense,3.1320155,101.671022,,,,
PIDEZZA,3.1136934,101.6632823,,italian_pizza;turkish,10:00,22:00
Bean Jr.,3.1187331,101.6772357,"Lot LG-013, LG Floor, Mid Valley Megamall Linkaran Syed Putra",dessert;snack,10:00,22:00
Ishin,3.102705,101.6779272,,japanese,,
Pak Abu,3.1160763,101.6686357,,,,
Umi Omakase,3.1116142,101.6681715,,,,
Gravy Baby,3.1279749,101.6757555,,,,
Sagar,3.127653,101.676003,,,,
Salam Noodles,3.1281212,101.6781295,28;30 Jalan Bangsar Utama 1,,,
Restoran Selera,3.1284873,101.6788731,54 Jalan Kemuja,,,
Bo + co,3.1106827,101.6663335,,,,
Botanica Deli,3.1106999,101.6662217,,,,
Darwish Tomyam,3.1023148,101.6743117,,,,
An Nam Lush,3.113248,101.6654244,,,,
Kubis & Kale,3.1131902,101.6650507,,,,
Nasi Ayam Kunyit,3.1208851,101.654063,,,,
Restoran Munah,3.1121082,101.6625232,,,,
Warung Saffnur,3.1122117,101.6629208,,,,
Kerinchi Food Corner,3.1123584,101.6626329,,,,
Restoran Nabila Corner,3.1168475,101.6676358,,,,
Ayam Goreng Kunyit Atok Chan,3.1129279,101.6634968,,,,
Home Secrets Cafe,3.1151145,101.6688026,,,,
The Servery,3.1151351,101.668386,,,,
Pantai Arj Sweet,3.1099164,101.6692811,,,,
Gajaa at 8,3.1281293,101.675612,,indian,12:00,15:30
Pak Ya,3.1163386,101.6679441,,,,
Tip Top Chicken Chop,3.1090209,101.6695942,,,,
